danceability,energy,loudness,tempo,valence,cluster,PCA1,PCA2
0.613,0.339,-14.908,106.582,0.292,0,-1.8019686108048314,1.0327620613027073
0.591,0.389,-12.146,79.96,0.581,1,-0.9252365017074023,1.5834541084887523
0.634,0.506,-5.882,124.003,0.244,0,-0.2679611918301301,-0.20263917014505847
0.704,0.587,-8.652,175.454,0.592,1,0.4250328174881217,-0.10912587305700026
0.647,0.816,-4.824,119.826,0.725,1,1.4384486295014771,0.1540075210777532
0.697,0.519,-9.324,112.247,0.871,1,0.5438157776529698,1.488278573244707
0.636,0.516,-9.945,77.883,0.472,1,-0.44549023270993543,1.2034438697383607
0.582,0.749,-6.841,151.025,0.866,1,1.1811749149793165,-0.0366059485818514
0.32,0.932,-5.221,119.516,0.0814,0,-0.23264286128896078,-2.117790075359527
0.804,0.745,-5.805,95.024,0.512,1,1.0944850877725247,0.8557512464851598
0.544,0.411,-10.106,139.948,0.422,0,-0.8924449382228579,0.040687868736039884
0.622,0.318,-16.183,124.938,0.508,0,-1.580504460188424,1.2733398284116715
0.898,0.351,-13.396,139.968,0.682,1,-0.17918034779519912,1.9380084180753803
0.238,0.311,-7.547,87.389,0.0559,0,-2.2332717616107365,-0.760330558339281
0.668,0.522,-7.42,107.979,0.718,1,0.4521316292809108,1.053753204543363
0.813,0.81,-5.382,93.005,0.632,1,1.524109803514375,0.9854404104667834
0.273,0.617,-6.884,96.271,0.181,0,-1.1370024804098167,-1.1092523632614446
0.755,0.792,-4.238,106.015,0.842,1,1.888492629037037,0.900968010195451
0.457,0.451,-8.009,149.956,0.307,0,-0.9165392064966561,-0.8063685860864213
0.532,0.358,-11.136,90.475,0.449,0,-1.2145674801525896,0.9818284918207982
0.512,0.77,-5.796,87.856,0.551,1,0.5350632117847739,0.07834912038540576
0.503,0.582,-4.324,77.321,0.326,1,-0.13742292324600033,0.01583603127888438
0.804,0.786,-3.837,91.992,0.575,1,1.5454317265347404,0.7965789916262991
0.632,0.804,-6.288,155.979,0.79,1,1.3678755537049292,-0.21553687505672323
0.304,0.305,-10.879,146.066,0.464,0,-1.7007449483339874,-0.5093495389217896
0.532,0.342,-8.153,199.743,0.239,0,-1.039298039240943,-1.279921891975446
0.546,0.17,-15.055,130.07,0.135,0,-2.59219709065914,0.4669688919281937
0.598,0.537,-8.281,131.955,0.397,0,-0.30577498730135266,-0.04551001596538971
0.417,0.882,-4.319,174.015,0.449,1,0.7365506360599056,-2.0249720385954677
0.819,0.897,-3.633,116.019,0.805,1,2.3052281685927967,0.670848769017938
0.7,0.38,-9.746,85.878,0.441,1,-0.6212914874136017,1.4264143973434915
0.684,0.808,-2.737,173.905,0.712,1,1.8482733158860314,-0.7403587698399087
0.468,0.104,-14.49,95.852,0.453,0,-2.3529000779223623,1.3597148016964298
0.209,0.277,-11.054,75.84,0.0554,0,-2.8494087816083837,-0.352654680690584
0.684,0.216,-15.894,133.186,0.26,0,-2.0525020406367753,1.0552677322937636
0.744,0.576,-6.613,84.08,0.849,1,1.0403319209886344,1.7414832133852873
0.62,0.468,-7.492,149.855,0.646,1,0.15880351482256536,0.21866524729371598
0.715,0.404,-9.706,104.438,0.709,1,-0.023302690729391604,1.6006029316958283
0.728,0.695,-9.058,120.932,0.836,1,1.003340810610667,1.092175834871384
0.752,0.445,-12.725,106.283,0.964,1,0.21817322183229437,2.2869962814409304
0.576,0.869,-4.339,92.538,0.746,1,1.4451350874145603,0.2719565289980597
0.354,0.979,-4.907,180.052,0.0908,0,0.11842317601966817,-3.0364885996621465
0.51,0.702,-5.117,141.904,0.276,0,0.07809305083540559,-1.1833805887116293
0.179,0.912,-3.881,182.99,0.289,0,0.047896355360007685,-3.264603474375483
0.299,0.937,-4.657,170.775,0.225,0,0.14719090725719736,-2.7879528960554794
0.416,0.741,-4.001,160.515,0.286,0,0.1444867984910676,-1.8972122739980815
0.873,0.592,-5.788,113.947,0.265,1,0.508870994295552,0.5961854069466891
0.416,0.231,-16.997,114.603,0.288,0,-2.762028723531464,0.6122789050235943
0.709,0.56,-4.867,170.082,0.541,1,0.762149432642366,-0.34094824577120364
0.287,0.482,-9.074,122.567,0.399,0,-1.2625900126958722,-0.7238470072801342
0.149,0.243,-13.188,174.451,0.215,0,-2.8810438706907804,-1.5895471014168656
0.463,0.334,-10.853,143.978,0.375,0,-1.4251096753991257,-0.17798622637102923
0.612,0.938,-4.972,136.041,0.526,1,1.2958596281967794,-0.7295044115735223
0.386,0.128,-16.273,66.187,0.363,0,-2.9277740256004656,1.5085005677003094
0.359,0.87,-11.567,186.046,0.264,0,-0.6581586920443196,-2.1417288387205793
0.802,0.771,-6.179,171.113,0.634,1,1.4521949109780752,-0.1407012133134625
0.803,0.196,-13.397,95.13,0.381,0,-1.3593013020779359,2.0701872801960257
0.691,0.587,-4.379,110.029,0.275,1,0.26956449351980377,0.004825487764167775
0.456,0.281,-12.202,110.009,0.259,0,-1.9996733541357417,0.3174041841469435
0.189,0.0966,-20.224,171.235,0.0573,0,-4.307503475223124,-0.9186090616610889
0.759,0.711,-5.199,111.902,0.436,1,0.8884661337742131,0.32978369676260805
0.37,0.158,-13.782,124.804,0.545,0,-2.1515079376677293,0.6193526887440531
0.765,0.816,-3.99,89.005,0.624,1,1.5846461135124879,0.7686607768079057
0.564,0.407,-10.764,150.261,0.524,0,-0.7423498580968664,0.17293097202294871
0.381,0.981,-2.458,152.886,0.463,1,1.1038913759936244,-2.082165063649754
0.439,0.739,-7.746,138.986,0.308,0,-0.2882303220810386,-1.1651289147113815
0.343,0.959,-3.119,138.377,0.229,0,0.4446629567599464,-2.289666070905568
0.658,0.621,-7.506,92.025,0.613,1,0.4298345222050683,0.9419238548522741
0.172,0.943,-4.377,165.144,0.15,0,-0.23764706882288997,-3.2570530703074163
0.566,0.419,-7.661,147.881,0.186,0,-0.9094296519569618,-0.6145923965219637
0.487,0.298,-15.225,124.332,0.457,0,-1.9045692563572916,0.7315112063454704
0.409,0.701,-7.124,195.878,0.553,0,0.16876711183981827,-1.7147082001775067
0.706,0.52,-7.496,108.999,0.354,1,-0.11155308573950369,0.5447833139776488
0.58,0.702,-5.565,105.076,0.299,1,0.15581462538446614,-0.3168647763274823
0.747,0.876,-7.028,123.47,0.935,1,1.8971879143024875,0.8413116193095451
0.65,0.715,-5.198,106.672,0.187,1,0.20010217363868624,-0.361743201175489
0.617,0.902,-3.969,119.986,0.353,1,1.0218894028044918,-0.7779964414970432
0.424,0.451,-7.874,139.972,0.136,0,-1.2933375654926718,-1.05628252730604
0.847,0.551,-9.335,110.0,0.614,1,0.5056617681962949,1.5052911891414231
0.437,0.557,-8.487,161.412,0.683,1,-0.102789009499774,-0.5372273443439212
0.394,0.873,-7.097,147.806,0.25,0,-0.09014734035439786,-1.803518615373025
0.694,0.442,-9.519,110.104,0.639,1,-0.07400775250475984,1.252817142351501
0.675,0.786,-7.282,169.993,0.924,1,1.5588561975704005,0.03333316669920797
0.545,0.962,-4.552,160.017,0.539,1,1.3159596823174493,-1.3607210634417475
0.591,0.595,-6.454,118.724,0.726,1,0.5979536827333183,0.47002255822377165
0.781,0.58,-6.11,179.96,0.592,1,0.9211585187005992,-0.1195128762557967
0.483,0.997,-4.142,103.784,0.214,1,0.6334828781900405,-1.319824100526461
0.708,0.729,-6.433,110.138,0.599,1,0.9362116040148525,0.5405982257725898
0.407,0.896,-2.935,138.697,0.156,0,0.345169556576391,-2.1329748682424112
0.547,0.56,-6.32,83.337,0.472,1,-0.07526957574199446,0.49519819283605393
0.864,0.586,-5.098,131.961,0.331,1,0.711428614852726,0.3570855810954448
0.804,0.745,-5.805,95.024,0.512,1,1.0944850877725247,0.8557512464851598
0.5,0.85,-7.759,76.976,0.434,1,0.2120413910634757,0.03297354711296652
0.679,0.61,-10.936,123.978,0.554,1,-0.03318204851843018,0.6865046345696132
0.749,0.487,-10.473,85.959,0.756,1,0.19418952073748164,2.0023263496614314
0.43,0.186,-19.105,127.539,0.307,0,-3.046016554317566,0.7178728230161591
0.747,0.72,-5.031,160.034,0.432,1,0.9826023530693689,-0.49161280522308537
0.733,0.859,-5.087,170.047,0.845,1,2.0016463053552025,-0.20215902811291325
0.65,0.617,-9.075,89.171,0.621,1,0.20970597012822526,1.1001886510313905
0.476,0.736,-5.38,129.084,0.251,0,-0.02380847774137705,-1.166662065679987
0.367,0.824,-6.763,89.946,0.253,0,-0.31981754861045586,-0.9293597108720247
0.417,0.163,-14.445,122.61,0.216,0,-2.6983176292490856,0.28182873843339623
0.67,0.672,-11.433,130.489,0.272,0,-0.460093137756896,0.015331627031684468
0.678,0.752,-4.242,167.822,0.662,1,1.415275430826782,-0.5471708481340591
0.472,0.671,-4.649,82.952,0.0681,0,-0.4909175568725569,-0.7251681386125162
0.558,0.625,-5.253,171.934,0.293,0,0.08035584514301347,-1.3398490357820068
0.678,0.698,-4.57,192.005,0.812,1,1.557363153665737,-0.5578555438343694
0.381,0.285,-9.147,123.469,0.327,0,-1.6274636372159959,-0.24926814592772725
0.63,0.758,-7.344,104.257,0.918,1,1.2545442832033673,0.9552565639086195
0.249,0.102,-17.716,71.883,0.2,0,-3.7636134867138105,0.8625207834352285
0.371,0.905,-6.804,109.839,0.0397,0,-0.4703678408997755,-1.7156424596664224
0.445,0.436,-8.536,139.848,0.483,0,-0.755300344909882,-0.3225217574958547
0.786,0.667,-8.272,102.046,0.688,1,0.8805673237634055,1.3004244707772743
0.67,0.706,-6.371,165.995,0.829,1,1.3087293555469504,-0.02479230889615122
0.678,0.727,-6.534,143.003,0.453,1,0.652615099178737,-0.30388281538067236
0.498,0.99,-5.278,130.037,0.0977,0,0.3495021750631203,-1.783179228268674
0.367,0.189,-15.736,156.643,0.177,0,-2.9273614158040693,-0.4150280355493603
0.756,0.804,-4.101,84.953,0.849,1,1.9099476475639912,1.2148959645793438
0.707,0.904,-4.091,86.708,0.823,1,1.982952530735888,0.8308033172840723
0.442,0.395,-4.315,138.027,0.113,0,-0.9658299259455237,-1.1900217200605376
0.606,0.67,-6.009,169.977,0.526,1,0.6014309731256069,-0.775083605657242
0.637,0.56,-9.319,89.51,0.732,1,0.21437445735056834,1.3521111147500269
0.829,0.788,-8.09,125.017,0.929,1,1.7421693050156983,1.2835707277818855
0.645,0.792,-7.34,90.565,0.666,1,0.8999090476857454,0.7315969792826843
0.44,0.755,-5.982,88.907,0.91,1,0.9431059202940238,0.4866365791858869
0.542,0.246,-15.471,76.237,0.72,0,-1.5526996173297911,2.202952031688142
0.897,0.761,-6.387,114.001,0.815,1,1.836336598384915,1.3874844870553014
0.378,0.167,-10.923,176.731,0.306,0,-2.071246532575413,-0.8034118689895483
0.499,0.873,-5.795,186.123,0.58,1,0.9672354775816262,-1.6069436469301879
0.812,0.855,-3.725,90.04,0.573,1,1.7279170133091943,0.7311561936362054
0.837,0.569,-8.554,135.022,0.614,1,0.6689182085909164,0.9964180253777921
0.673,0.712,-7.858,113.061,0.912,1,1.1885011830388361,1.0542768228815436
0.568,0.356,-8.365,147.916,0.383,0,-0.7925245729154194,-0.11981489743865618
0.136,0.99,-3.845,199.951,0.0359,0,-0.28301437268907914,-4.221561526411424
0.449,0.72,-5.382,138.482,0.114,0,-0.34609352422439205,-1.60609745521878
0.534,0.624,-9.589,121.402,0.687,1,0.06623149680242096,0.37480026271618766
0.24,0.231,-13.889,81.013,0.0384,0,-3.2670358225096874,-0.07755581285215497
0.812,0.855,-3.725,90.04,0.573,1,1.7279170133091943,0.7311561936362054
0.6,0.294,-12.301,86.97,0.342,0,-1.5469274810406692,1.2564552393861557
